"OBJECTID_1";"BirdID_SQ";"BirdID_int";"BirdID_ext";"BirdID_forest"
1;6;5;8;2
3;6;5;8;2
4;6;5;8;2
7;6;5;8;2
8;6;5;8;2
9;6;5;8;2
10;6;5;8;2
11;6;5;8;2
16;6;5;8;2
20;6;5;8;2
22;5;5;8;2
25;5;5;8;2
28;5;5;8;2
29;5;5;8;2
30;6;5;8;2
35;6;5;8;2
37;6;5;8;2
38;6;5;8;2
39;5;5;8;2
44;6;5;8;2
49;5;5;8;2
51;6;5;8;2
57;6;5;8;2
61;6;5;8;2
62;6;5;8;2
63;5;5;8;2
64;5;5;8;2
66;5;5;8;2
76;6;5;8;2
77;6;5;8;2
80;5;5;8;2
83;6;5;8;2
91;6;5;8;2
95;6;5;8;2
98;5;5;8;2
99;5;5;8;2
113;8;5;8;2
117;8;5;8;2
118;6;5;8;2
122;6;5;8;2
124;6;5;8;2
128;6;5;8;2
129;5;5;8;2
135;5;5;8;2
136;6;5;8;2
137;5;5;8;2
139;5;5;8;2
140;5;5;8;2
144;6;5;8;2
150;5;5;8;2
153;6;5;8;2
161;5;5;8;2
165;5;5;8;2
171;6;5;8;2
174;5;5;8;2
182;6;5;8;2
184;6;5;8;2
187;6;5;8;2
190;6;5;8;2
193;8;5;8;2
195;6;5;8;2
203;5;5;8;2
205;6;5;8;2
208;6;5;8;2
213;5;5;8;2
230;6;5;8;2
232;6;5;8;2
233;6;5;8;2
238;5;5;8;2
244;6;5;8;2
246;5;5;8;2
258;6;5;8;2
262;6;5;8;2
263;6;5;8;2
264;6;5;8;2
266;6;5;8;2
272;5;5;8;2
273;6;5;8;2
277;5;5;8;2
278;6;5;8;2
282;6;5;8;2
283;6;5;8;2
288;6;5;8;2
291;5;5;8;2
294;5;5;8;2
295;5;5;8;2
308;6;5;8;2
316;6;5;8;2
326;6;5;8;2
331;6;5;8;2
339;6;5;8;2
343;6;5;8;2
348;6;5;8;2
350;6;5;8;2
352;6;5;8;2
354;5;5;8;2
358;6;5;8;2
364;6;5;8;2
365;5;5;8;2
371;6;5;8;2
382;6;5;8;2
384;6;5;8;2
395;5;5;8;2
407;5;5;8;2
413;5;5;8;2
415;5;5;8;2
422;6;5;8;2
425;6;5;8;2
430;6;5;8;2
431;6;5;8;2
435;6;5;8;2
441;5;5;8;2
448;5;5;8;2
449;5;5;8;2
454;6;5;8;2
457;6;5;8;2
467;6;5;8;2
470;6;5;8;2
471;5;5;8;2
476;5;5;8;2
477;6;5;8;2
482;6;5;8;2
489;6;5;8;2
490;6;5;8;2
493;5;5;8;2
494;6;5;8;2
495;6;5;8;2
497;6;5;8;2
501;6;5;8;2
503;5;5;8;2
504;6;5;8;2
506;6;5;8;2
512;6;5;8;2
522;6;5;8;2
525;6;5;8;2
526;6;5;8;2
527;5;5;8;2
528;5;5;8;2
530;5;5;8;2
536;6;5;8;2
538;5;5;8;2
543;5;5;8;2
544;6;5;8;2
553;6;5;8;2
554;6;5;8;2
556;6;5;8;2
558;6;5;8;2
564;5;5;8;2
571;5;5;8;2
572;5;5;8;2
575;6;5;8;2
577;6;5;8;2
583;5;5;8;2
584;6;5;8;2
588;6;5;8;2
592;6;5;8;2
595;5;5;8;2
601;6;5;8;2
605;5;5;8;2
610;6;5;8;2
611;6;5;8;2
617;5;5;8;2
638;5;5;8;2
643;5;5;8;2
650;6;5;8;2
652;5;5;8;2
667;6;5;8;2
668;6;5;8;2
669;6;5;8;2
671;6;5;8;2
672;6;5;8;2
676;6;5;8;2
678;6;5;8;2
679;5;5;8;2
699;6;5;8;2
712;6;5;8;2
714;6;5;8;2
723;5;5;8;2
729;5;5;8;2
730;6;5;8;2
746;6;5;8;2
751;5;5;8;2
766;6;5;8;2
767;5;5;8;2
774;5;5;8;2
1234;6;5;8;2
1235;6;5;8;2
1236;6;5;8;2
1186;6;5;8;2
1187;6;5;8;2
1188;6;5;8;2
1189;6;5;8;2
1190;6;5;8;2
1191;6;5;8;2
1192;6;5;8;2
1237;6;5;8;2
1238;6;5;8;2
1193;6;5;8;2
1194;6;5;8;2
1195;6;5;8;2
1239;6;5;8;2
1196;6;5;8;2
1197;6;5;8;2
1240;6;5;8;2
1199;6;5;8;2
1200;6;5;8;2
1201;6;5;8;2
1198;6;5;8;2
1202;6;5;8;2
1204;6;5;8;2
1205;6;5;8;2
1206;6;5;8;2
1203;6;5;8;2
1208;6;5;8;2
1209;6;5;8;2
1210;6;5;8;2
1207;6;5;8;2
1212;6;5;8;2
1211;6;5;8;2
1241;6;5;8;2
1242;6;5;8;2
1213;6;5;8;2
1215;6;5;8;2
1216;6;5;8;2
1217;6;5;8;2
1214;6;5;8;2
1218;6;5;8;2
1219;6;5;8;2
1243;6;5;8;2
1220;6;5;8;2
1222;6;5;8;2
1221;6;5;8;2
1223;6;5;8;2
1224;6;5;8;2
1225;6;5;8;2
1226;6;5;8;2
1227;6;5;8;2
1228;6;5;8;2
1229;6;5;8;2
1231;6;5;8;2
1232;6;5;8;2
1233;6;5;8;2
1230;6;5;8;2
