"HRUGIS";"HRU";"HRU_AREA";"linE_AREA";"LULC_SQ";"margin_SQ";"LULC_int";"margin_int";"LULC_ext";"margin_ext";"margintotal_SQ";"margintotal_int";"margintotal_ext"
10045;45;422833;0.34189;"M106";237.842764480121;"PAST";442.276569714286;"PASE";109.693469142857;9967.540736537;18534.975134009;4597.04597112046
10046;46;845812;0.61901;"M104";316.746504720985;"PAST";443.405785142857;"PASE";111.156629714286;26644.0556053881;37298.3702077592;9350.26394568693
10047;47;460098;0.549315;"M103";232.751519947245;"PAST";441.692276;"PASE";104.503092571429;10665.9978363737;20240.8511069091;4788.92580170414
10048;48;216330;0.39897;"M108";308.11806236362;"PAST";444.801230285714;"PASE";107.100762285714;6443.83634078344;9302.36387361719;2239.85500508515
10049;49;300032;0.52915;"M104";310.97678846382;"PAST";448.641489142857;"PASE";113.405465714286;9106.442138462;13137.7257510915;3320.89194442444
10052;52;580909;0.69872;"M106";358.255833307473;"PAST";445.321006857143;"PASE";110.419369714286;20797.2096909654;25851.4544589459;6409.98574870754
10054;54;588825;5.7279;"M104";311.035861407488;"PAST";441.746205714286;"PASE";108.695714285714;18113.8736285845;25726.0847993737;6330.13962965736
10055;55;742870;2.038145;"M109";365.889766492644;"PAST";442.794692;"PASE";108.825851428571;27032.290818278;32714.101303444;8040.15945174839
10056;56;440276;0.00514;"M109";390.525899485689;"PAST";440.764111428572;"PASE";108.214648;17010.277193222;19198.5210765744;4713.54438020928
10057;57;975013;0.60116;"M103";372.742525402961;"PAST";443.952250857143;"PASE";117.816342857143;35961.7242056892;42831.9478400269;11366.7707331519
10058;58;155502;0.05104;"M105";226.024941963145;"PAST";345.91178;"PASE";47.4350880000001;3703.7486704814;5668.2695464988;777.293172108482
10060;60;64560;0.15288;"M107";-228.927741733142;"PAST";163.466894857143;"PASE";-41.2651754285714;-1481.6478158259;1057.97735954281;-267.073167194766
10061;61;652616;1.2992;"M112";333.056300132799;"PAST";447.174468571429;"PASE";109.133328;21570.6440108741;28961.5937859756;7068.10280145224
10062;62;953992;0.70374;"M112";310.549399508506;"PAST";446.172302285714;"PASE";110.840330285714;29380.6936062444;42211.8082655966;10486.4662063218
10063;63;183204;0;"M110";645.622909851776;"PAST";443.646649142857;"PASE";113.934285714286;11863.3209685264;8152.007178;2093.54250000001
10064;64;152364;0.08466;"M103";369.919685163466;"PAST";448.165054857143;"PASE";108.258541714286;5517.47787690605;6684.53416931294;1614.71295757276
10066;66;312587;0.262035;"M305";410.984382114367;"PAST";449.131819428572;"PASE";118.011548571429;12709.8831246245;13889.6103621246;3649.56201494153
10068;68;707988;0.44916;"M313";424.42519613032;"PAST";457.235944571429;"PASE";112.499799428571;29810.9212303681;32115.4937350292;7901.79916219577
10069;69;443882;1.43286;"M302";365.594779140307;"PAST";442.439130857143;"PASE";110.407017714286;16111.1680132222;19497.5737608326;4865.457916047
10070;70;942913;0.3444;"M302";442.798366282397;"PAST";449.599430857143;"PASE";112.631921714286;41719.6207542315;42360.4041364414;10611.9656632688
10071;71;668323;0.30653;"M314";330.330358758223;"PAST";440.274332571429;"PASE";102.945858285714;21907.0039873964;29198.3201164083;6827.21181434538
10072;72;465223;6.10652;"M310";347.279714479464;"PAST";450.420066857143;"PASE";105.863908;15942.8216278576;20677.7605604595;4859.97117511374
10073;73;330671;0.20898;"M310";388.07254726561;"PAST";446.21774;"PASE";112.070677714286;12798.0582614499;14715.6006629448;3695.92508641414
10074;74;452875;0.199955;"M306";399.531464258032;"PAST";446.802805714286;"PASE";112.261030857143;18098.7933098047;20240.1872049834;5085.42974957497
10075;75;449787;0.78492;"M308";448.009246254146;"PAST";449.449111428572;"PASE";110.021348571429;20014.7638325503;20079.089650952;4915.19165420676
10078;78;289807;0;"M313";392.653390126227;"PAST";445.389935428572;"PASE";109.896946285714;11436.0299874264;12971.9818693572;3200.74856057142
10079;79;103406;0.589645;"M313";366.887650237144;"PAST";442.296641714286;"PASE";107.738213714286;3681.84781524557;4438.60381491067;1081.19122168873
10080;80;105820;0.260615;"M405";227.590720550407;"PAST";442.468577142857;"PASE";109.64362;2330.38901014303;4530.60611176791;1122.6832379737
10081;81;63750;0.08208;"M401";310.268203467955;"PAST";447.187923428572;"PASE";111.019434285714;2030.06003383455;2925.91480795927;726.391276976684
10092;92;65261;0.283845;"PASE";112.736472571429;"PAST";437.278200571429;"PASE";112.736472571429;728.971505800109;2827.50862301595;728.971505800109
10098;98;88777;0.184015;"PASE";102.659336;"PAST";433.705825714286;"PASE";102.659336;943.54041728596;3986.18373855262;943.54041728596
10100;100;119566;0.69972;"PASE";105.305862285714;"PAST";445.213698857143;"PASE";105.305862285714;1295.29159175572;5476.25315577854;1295.29159175572
10102;102;65814;0.04189;"PAST";436.740006285714;"PAST";436.740006285714;"PASE";112.386977142857;2902.4037531724;2902.4037531724;746.880019170342
10103;103;63483;0.05184;"PAST";447.316847428572;"PAST";447.316847428572;"PASE";115.226613714286;2856.41329995073;2856.41329995073;735.797978130768
10104;104;72248;0.09727;"PAST";446.465662285714;"PAST";446.465662285714;"PASE";112.267868571429;3137.64012881518;3137.64012881518;788.988267995489
10105;105;50678;0.04272;"PAST";343.973729142857;"PAST";343.973729142857;"PASE";52.0486702857143;1769.66916221959;1769.66916221959;267.778957912537
10111;111;78576;0.3045;"PAST";445.937834857143;"PAST";445.937834857143;"PASE";106.8567;3487.45683750029;3487.45683750029;835.67282235
10112;112;52664;0;"PAST";443.362442857143;"PAST";443.362442857143;"PASE";108.924336571429;2327.652825;2327.652825;571.852767000002
10116;116;114349;0.3255;"PAST";454.420791428572;"PAST";454.420791428572;"PASE";110.648653714286;5134.72773274715;5134.72773274715;1250.27446264457
10117;117;51442;0;"PAST";442.611176571429;"PAST";442.611176571429;"PASE";110.079469142857;2296.04547846429;2296.04547846429;571.037246178571
10118;118;49160;0.14007;"PAST";448.435365142857;"PAST";448.435365142857;"PASE";112.926936;2207.39169444015;2207.39169444015;555.87493757448
10119;119;90196;0.0104;"PAST";420.509037142857;"PAST";420.509037142857;"PASE";90.1734491428572;3885.33529958514;3885.33529958514;833.166600700343
